0	2	0.025	0	1
0	2	0.3	0	0
0	2	0.1	0	1
0	2	0.3	1	1
0	2	0.0125	0	1
0	2	0.3	0	0
0	2	0.025	1	1
0	2	0.025	1	1
0	2	0.05	0	0
0	2	0.0125	0	1
0	2	0.05	0	1
0	2	0.025	1	1
0	2	0.1	0	1
0	2	0.05	0	1
0	2	0.0125	0	0
0	2	0.1	0	1
0	2	0.1	1	1
0	2	0.05	1	1
0	2	0.05	1	1
0	2	0.05	1	1
0	2	0.025	1	0
0	2	0.05	0	0
0	2	0.1	1	1
0	2	0.1	0	0
0	2	0.0125	1	1
0	2	0.3	1	1
0	2	0.025	1	1
0	2	0.0125	0	1
0	2	0.1	1	1
0	2	0.3	1	1
0	2	0.025	1	1
0	2	0.3	1	1
0	2	0.05	0	0
0	2	0.0125	0	0
0	2	0.025	1	1
0	2	0.1	0	0
0	2	0.1	0	1
0	2	0.05	0	1
0	2	0.3	0	0
0	2	0.0125	1	0
0	2	0.1	1	1
0	2	0.025	0	1
0	2	0.05	1	1
0	2	0.025	1	0
0	2	0.0125	0	1
0	2	0.3	1	1
0	2	0.0125	1	1
0	2	0.0125	1	0
0	2	0.3	0	0
0	2	0.3	0	0
1	2	0.025	0	0
1	2	0.1	0	1
1	2	0.05	0	0
1	2	0.05	1	1
1	2	0.3	1	1
1	2	0.0125	1	0
1	2	0.3	1	1
1	2	0.0125	1	1
1	2	0.3	1	1
1	2	0.1	1	1
1	2	0.05	0	0
1	2	0.1	1	1
1	2	0.05	0	0
1	2	0.05	1	0
1	2	0.0125	0	1
1	2	0.1	1	1
1	2	0.025	0	1
1	2	0.3	0	0
1	2	0.1	1	1
1	2	0.025	1	0
1	2	0.05	0	0
1	2	0.05	0	1
1	2	0.3	0	0
1	2	0.025	1	1
1	2	0.025	1	1
1	2	0.1	0	1
1	2	0.025	1	1
1	2	0.1	1	0
1	2	0.1	1	1
1	2	0.025	0	1
1	2	0.0125	0	0
1	2	0.3	1	1
1	2	0.0125	1	1
1	2	0.025	1	1
1	2	0.05	1	1
1	2	0.05	0	0
1	2	0.1	0	0
1	2	0.0125	0	1
1	2	0.1	1	1
1	2	0.0125	0	0
1	2	0.0125	0	1
1	2	0.025	0	0
1	2	0.3	0	0
1	2	0.3	0	0
1	2	0.3	1	1
1	2	0.025	0	1
1	2	0.0125	0	1
1	2	0.3	0	0
1	2	0.05	1	0
1	2	0.0125	1	1
2	2	0.05	0	0
2	2	0.025	0	0
2	2	0.1	0	0
2	2	0.05	1	1
2	2	0.0125	0	1
2	2	0.025	1	1
2	2	0.3	0	0
2	2	0.1	1	1
2	2	0.05	1	1
2	2	0.05	0	0
2	2	0.0125	0	0
2	2	0.05	1	1
2	2	0.3	1	1
2	2	0.0125	0	1
2	2	0.0125	0	1
2	2	0.1	1	0
2	2	0.3	1	1
2	2	0.05	0	1
2	2	0.0125	1	1
2	2	0.025	0	0
2	2	0.1	0	0
2	2	0.0125	1	0
2	2	0.0125	0	1
2	2	0.0125	0	1
2	2	0.025	1	1
2	2	0.05	0	1
2	2	0.05	1	0
2	2	0.3	1	1
2	2	0.1	1	0
2	2	0.3	0	0
2	2	0.025	1	1
2	2	0.3	1	1
2	2	0.1	1	1
2	2	0.05	0	1
2	2	0.05	0	1
2	2	0.1	0	0
2	2	0.0125	0	1
2	2	0.3	0	0
2	2	0.025	0	1
2	2	0.025	0	0
2	2	0.1	1	1
2	2	0.3	1	1
2	2	0.025	0	1
2	2	0.1	1	1
2	2	0.025	0	1
2	2	0.1	1	1
2	2	0.0125	1	1
2	2	0.3	1	1
2	2	0.3	1	1
2	2	0.025	1	1
3	2	0.1	0	0
3	2	0.0125	0	1
3	2	0.05	0	0
3	2	0.3	1	1
3	2	0.0125	0	1
3	2	0.3	1	1
3	2	0.3	1	1
3	2	0.3	1	1
3	2	0.1	1	1
3	2	0.05	0	0
3	2	0.025	0	1
3	2	0.1	0	0
3	2	0.3	1	1
3	2	0.025	0	1
3	2	0.3	0	0
3	2	0.025	1	1
3	2	0.05	0	1
3	2	0.0125	0	0
3	2	0.1	1	1
3	2	0.1	0	1
3	2	0.1	1	0
3	2	0.025	0	0
3	2	0.025	0	0
3	2	0.025	1	0
3	2	0.0125	1	1
3	2	0.3	0	0
3	2	0.05	0	1
3	2	0.05	0	1
3	2	0.3	0	0
3	2	0.025	0	0
3	2	0.0125	1	0
3	2	0.0125	1	1
3	2	0.1	1	1
3	2	0.0125	1	1
3	2	0.05	0	0
3	2	0.0125	1	1
3	2	0.1	1	1
3	2	0.3	1	1
3	2	0.1	1	1
3	2	0.05	0	1
3	2	0.025	1	0
3	2	0.05	1	1
3	2	0.3	1	1
3	2	0.0125	0	0
3	2	0.025	0	0
3	2	0.1	1	0
3	2	0.0125	1	0
3	2	0.05	0	1
3	2	0.05	1	0
3	2	0.025	0	1
4	2	0.3	1	1
4	2	0.1	0	0
4	2	0.05	0	0
4	2	0.0125	0	0
4	2	0.1	1	0
4	2	0.1	0	0
4	2	0.0125	0	1
4	2	0.025	0	1
4	2	0.1	0	0
4	2	0.0125	1	0
4	2	0.025	1	0
4	2	0.0125	1	0
4	2	0.1	0	1
4	2	0.05	1	1
4	2	0.3	0	0
4	2	0.05	1	0
4	2	0.3	1	1
4	2	0.0125	1	0
4	2	0.025	0	1
4	2	0.05	0	0
4	2	0.1	0	0
4	2	0.1	0	0
4	2	0.1	1	0
4	2	0.025	1	0
4	2	0.1	1	1
4	2	0.05	1	1
4	2	0.05	0	0
4	2	0.05	1	0
4	2	0.05	1	0
4	2	0.1	1	1
4	2	0.3	0	0
4	2	0.025	0	0
4	2	0.3	1	1
4	2	0.05	0	0
4	2	0.0125	1	1
4	2	0.3	0	0
4	2	0.025	0	0
4	2	0.3	1	1
4	2	0.3	0	0
4	2	0.0125	0	1
4	2	0.025	1	0
4	2	0.0125	0	1
4	2	0.025	0	1
4	2	0.025	0	0
4	2	0.05	1	1
4	2	0.3	1	1
4	2	0.025	1	0
4	2	0.0125	1	1
4	2	0.3	0	0
4	2	0.0125	1	0
5	2	0.3	0	0
5	2	0.05	1	1
5	2	0.05	0	1
5	2	0.05	1	1
5	2	0.025	0	0
5	2	0.0125	0	0
5	2	0.1	0	0
5	2	0.0125	1	1
5	2	0.025	1	1
5	2	0.0125	1	1
5	2	0.025	1	0
5	2	0.3	1	1
5	2	0.025	1	1
5	2	0.05	0	0
5	2	0.0125	0	0
5	2	0.1	0	0
5	2	0.3	1	1
5	2	0.05	0	0
5	2	0.025	1	0
5	2	0.3	0	0
5	2	0.3	0	0
5	2	0.025	1	0
5	2	0.0125	0	0
5	2	0.025	0	0
5	2	0.1	1	0
5	2	0.0125	0	0
5	2	0.05	0	0
5	2	0.1	1	1
5	2	0.1	0	0
5	2	0.3	0	0
5	2	0.1	1	1
5	2	0.1	0	0
5	2	0.05	1	1
5	2	0.1	0	0
5	2	0.025	1	1
5	2	0.025	1	0
5	2	0.0125	0	1
5	2	0.1	1	1
5	2	0.3	1	1
5	2	0.3	0	0
5	2	0.05	0	1
5	2	0.3	1	1
5	2	0.05	1	1
5	2	0.05	1	0
5	2	0.0125	0	0
5	2	0.0125	1	0
5	2	0.0125	1	1
5	2	0.3	0	0
5	2	0.025	0	0
5	2	0.1	1	1
6	2	0.1	1	1
6	2	0.05	0	0
6	2	0.05	0	1
6	2	0.3	0	0
6	2	0.0125	0	1
6	2	0.025	0	0
6	2	0.025	0	0
6	2	0.0125	0	1
6	2	0.1	0	0
6	2	0.1	1	1
6	2	0.3	0	0
6	2	0.0125	0	0
6	2	0.3	1	1
6	2	0.025	1	1
6	2	0.1	1	1
6	2	0.1	1	1
6	2	0.3	1	1
6	2	0.1	1	1
6	2	0.3	0	0
6	2	0.1	1	0
6	2	0.025	1	1
6	2	0.025	1	1
6	2	0.05	1	1
6	2	0.025	0	0
6	2	0.3	1	1
6	2	0.0125	0	0
6	2	0.0125	1	0
6	2	0.05	1	0
6	2	0.3	0	0
6	2	0.05	0	0
6	2	0.05	1	1
6	2	0.05	0	0
6	2	0.0125	0	1
6	2	0.025	0	0
6	2	0.3	0	0
6	2	0.0125	1	0
6	2	0.3	1	1
6	2	0.05	1	0
6	2	0.0125	0	0
